,year,codmpio,H_coca,coca,FARC1,FARC2
760,2002,44650,NA,NA,0,0
761,2002,44847,NA,NA,0,0
762,2002,44855,NA,NA,0,0
763,2002,44874,NA,NA,0,0
764,2002,44874,NA,NA,0,0
765,2002,44874,NA,NA,0,0
766,2002,44874,NA,NA,0,0
767,2002,47001,643,1,0,0
768,2002,47030,NA,NA,0,1
769,2002,47053,NA,NA,0,0
770,2002,47058,NA,NA,0,0
771,2002,47161,NA,NA,0,0
772,2002,47170,NA,NA,0,0
773,2002,47189,1,1,0,0
774,2002,47205,NA,NA,0,0
775,2002,47205,NA,NA,0,0
776,2002,47245,NA,NA,0,0
777,2002,47258,NA,NA,0,0
778,2002,47268,NA,NA,0,0
779,2002,47288,NA,NA,0,0
780,2002,47318,NA,NA,0,0
781,2002,47318,NA,NA,0,0
